amz_url,style_id,flip_url,flip_pdp_link
https://www.amazon.in/dp/B0BJ2PS7VS,JB_55_TDMAROON_3XL,https://www.flipkart.com/search?q=juneberry%20JB_55_TDMAROON_3XL,https://www.flipkart.com/x/p/k?pid=SWSG6HHJF7GG7FGQ
https://www.amazon.in/dp/B0BP7SH734,OS_100_SMILE_BLK_L,https://www.flipkart.com/search?q=veirdo%20OS_100_SMILE_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGKXFQUDZ9G2QJ
https://www.amazon.in/dp/B0B3Y52SBD,OS_DDK3016_O_L,https://www.flipkart.com/search?q=veirdo%20OS_DDK3016_O_L,https://www.flipkart.com/x/p/k?pid=TSHGF9XU3WCC8FND
https://www.amazon.in/dp/B0B2LX4735,OS_DDK3016_O_P,https://www.flipkart.com/search?q=veirdo%20OS_DDK3016_O_P,NA
https://www.amazon.in/dp/B0B3S45QLB,OS_DPX3055_R_L,https://www.flipkart.com/search?q=veirdo%20OS_DPX3055_R_L,https://www.flipkart.com/x/p/k?pid=TSHGDYZFGSR3635F
https://www.amazon.in/dp/B0B4PHTGFH,OS_INTEGRITY_784_BL_L,https://www.flipkart.com/search?q=veirdo%20OS_INTEGRITY_784_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGFMCEGZMNCTGV
https://www.amazon.in/dp/B0BJ2QM8SM,OS_JB_100_TDGREEN_L,https://www.flipkart.com/search?q=juneberry%20OS_JB_100_TDGREEN_L,https://www.flipkart.com/x/p/k?pid=TSHGGZDV3NDUDPJS
https://www.amazon.in/dp/B0B3JM3K5Y,OS_MAV3056_WR_L,https://www.flipkart.com/search?q=veirdo%20OS_MAV3056_WR_L,https://www.flipkart.com/x/p/k?pid=TSHGEMRA9YDAEBZY
https://www.amazon.in/dp/B09XXS8H6Z,OS_MCA3032_W_L,https://www.flipkart.com/search?q=veirdo%20OS_MCA3032_W_L,https://www.flipkart.com/x/p/k?pid=TSHGENUS5C3G7RYA
https://www.amazon.in/dp/B09XXR1K8Y,OS_MSM3022_BL_L,https://www.flipkart.com/search?q=veirdo%20OS_MSM3022_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGF9XRJE7JRFGY
https://www.amazon.in/dp/B0BG2SCPYR,OS_SKELETON_787_BL_L,https://www.flipkart.com/search?q=veirdo%20OS_SKELETON_787_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGGHW46QMVRJJX
https://www.amazon.in/dp/B0BF5MB9WB,OS_SKELETON_787_LLC_L,https://www.flipkart.com/search?q=veirdo%20OS_SKELETON_787_LLC_L,https://www.flipkart.com/x/p/k?pid=TSHGGAZR6C8YH2FQ
https://www.amazon.in/dp/B0BF5M8VDL,OS_SKELETON_787_OL_L,https://www.flipkart.com/search?q=veirdo%20OS_SKELETON_787_OL_L,https://www.flipkart.com/x/p/k?pid=TSHGGAZRD2HC9YWR
https://www.amazon.in/dp/B0B2LZS8KN,OS_ST3008_TD_L,https://www.flipkart.com/search?q=veirdo%20OS_ST3008_TD_L,https://www.flipkart.com/x/p/k?pid=TSHGCZNUA7JG4HXB
https://www.amazon.in/dp/B09XXSJMG4,OS_SW3019_BL_L,https://www.flipkart.com/search?q=veirdo%20OS_SW3019_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGF9XRNFBFGAQZ
https://www.amazon.in/dp/B0B5Y2MLP3,OS_SWBF3058_AOP_L,https://www.flipkart.com/search?q=veirdo%20OS_SWBF3058_AOP_L,https://www.flipkart.com/x/p/k?pid=TKPGBDUDQGKRSRY7
https://www.amazon.in/dp/B0BDF5QCVS,OS_TIGER_783_BL_L,https://www.flipkart.com/search?q=veirdo%20OS_TIGER_783_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGHWHZCCS2CNHV
